File: audit
Type: alloc_objects
Time: 2026-09-08 11:12:20 CEST
Active filters:
   focus=gopurs/output/
Showing nodes accounting for 2483958, 100% of 2483958 total
Showing top 25 nodes out of 27
      flat  flat%   sum%        cum   cum%
   2383932 95.97% 95.97%    2383932 95.97%  gopurs/output/purescript.Call_Test_RBTree_balance
    100000  4.03%   100%    2483932   100%  gopurs/output/purescript.Call_Test_RBTree_ins
        16 0.00064%   100%    2483948   100%  gopurs/output/purescript.Call_Test_RBTree_insert
         2 8.1e-05%   100%          2 8.1e-05%  gopurs/output/gopurs_runtime.Str
         2 8.1e-05%   100%          3 0.00012%  gopurs/output/purescript.init.func3
         2 8.1e-05%   100%          2 8.1e-05%  sync.(*Pool).pinSlow
         1 4e-05%   100%          1 4e-05%  fmt.(*buffer).write
         1 4e-05%   100%          1 4e-05%  fmt.init.func1
         1 4e-05%   100%          2 8.1e-05%  gopurs/output/gopurs_runtime.Box[go.shape.string]
         1 4e-05%   100%          1 4e-05%  gopurs/output/purescript.Bench_Opaque
         0     0%   100%          1 4e-05%  fmt.(*fmt).fmtInteger
         0     0%   100%          1 4e-05%  fmt.(*fmt).pad
         0     0%   100%          1 4e-05%  fmt.(*pp).doPrintf
         0     0%   100%          1 4e-05%  fmt.(*pp).fmtInteger
         0     0%   100%          1 4e-05%  fmt.(*pp).printArg
         0     0%   100%          4 0.00016%  fmt.Sprintf
         0     0%   100%          3 0.00012%  fmt.newPrinter
         0     0%   100%    2483958   100%  gopurs/output/gopurs_runtime.Apply
         0     0%   100%    2483948   100%  gopurs/output/purescript.Call_Test_RBTree_buildTree
         0     0%   100%          4 0.00016%  gopurs/output/purescript.Data_Show_ShowIntImpl
         0     0%   100%    2483958   100%  gopurs/output/purescript.Get_Test_RBTree_act.func1.1
         0     0%   100%          6 0.00024%  gopurs/output/purescript.init.func173
         0     0%   100%    2483958   100%  main.main
         0     0%   100%    2483958   100%  main.main.func1 (inline)
         0     0%   100%    2483958   100%  runtime.main
